Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
JAGUARIBARA,3.5,3.3,3.2,2.9,3.7,3.7,4.8,5.1,3.6,3.7,4.0,4.4,4.8,5.0,5.3,5.5
JAGUARIBE,2.7,2.8,3.5,3.8,4.4,4.7,5.2,5.3,2.7,2.8,3.1,3.5,3.9,4.1,4.4,4.7
JAGUARUANA,3.0,3.2,3.7,4.5,4.0,4.9,4.7,5.3,3.0,3.2,3.5,3.9,4.2,4.5,4.8,5.0
JARDIM,3.2,3.7,4.0,3.9,4.3,4.7,4.5,4.9,3.2,3.3,3.6,4.0,4.4,4.7,4.9,5.2
JATI,3.2,3.2,4.1,4.8,4.8,4.3,4.7,4.9,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.3
JIJOCA DE JERICOACOARA,3.5,4.4,4.7,5.2,4.6,6.5,6.7,7.0,3.5,3.6,3.9,4.3,4.7,5.0,5.2,5.5
JUAZEIRO DO NORTE,3.2,3.4,3.6,3.8,3.8,4.3,4.5,5.0,3.2,3.4,3.7,4.1,4.4,4.7,5.0,5.2
JUCÁS,3.1,3.4,4.0,4.2,3.8,4.7,4.8,5.5,3.2,3.3,3.6,4.0,4.4,4.6,4.9,5.2
LAVRAS DA MANGABEIRA,3.0,3.0,3.2,3.5,3.5,4.2,4.1,4.4,3.0,3.1,3.4,3.8,4.2,4.5,4.7,5.0
LIMOEIRO DO NORTE,3.2,3.8,3.5,4.1,4.6,4.5,5.0,5.6,3.2,3.4,3.7,4.1,4.4,4.7,5.0,5.2
MADALENA,2.6,3.3,3.7,3.8,4.1,4.2,4.9,4.2,2.7,2.8,3.1,3.5,3.8,4.1,4.4,4.6
MARACANAÚ,3.0,3.5,4.2,4.3,4.4,4.7,4.9,5.3,3.0,3.2,3.4,3.8,4.2,4.5,4.8,5.0
MARANGUAPE,2.9,3.3,3.7,3.8,3.9,4.6,4.7,5.0,3.0,3.1,3.4,3.8,4.1,4.4,4.7,4.9
MARCO,2.4,3.0,3.4,3.7,3.8,4.7,4.4,5.0,2.5,2.6,2.9,3.3,3.6,3.9,4.2,4.4
MARTINÓPOLE,3.1,3.4,3.8,4.3,4.4,4.9,5.8,5.6,3.1,3.3,3.5,3.9,4.3,4.6,4.8,5.1
MASSAPÊ,3.2,3.4,3.6,3.6,3.7,5.0,4.8,4.9,3.2,3.4,3.7,4.1,4.4,4.7,5.0,5.2
MAURITI,2.7,3.1,3.6,3.7,4.4,4.3,4.5,4.8,2.7,2.9,3.1,3.5,3.9,4.2,4.4,4.7
MERUOCA,2.9,3.6,4.4,5.0,5.3,5.4,5.8,5.9,3.0,3.1,3.4,3.8,4.2,4.4,4.7,5.0
MILAGRES,3.0,3.9,3.8,3.5,4.3,4.6,4.9,5.0,3.0,3.2,3.5,3.9,4.2,4.5,4.8,5.0
MILHÃ,2.9,3.1,3.7,3.9,4.2,5.4,6.6,6.4,2.9,3.1,3.3,3.7,4.1,4.4,4.6,4.9
MIRAÍMA,3.3,3.3,3.6,3.6,3.7,3.9,4.3,4.5,3.3,3.5,3.7,4.1,4.5,4.8,5.0,5.3
MISSÃO VELHA,2.9,2.8,3.5,3.5,3.2,4.4,4.4,4.3,2.9,3.1,3.3,3.7,4.1,4.4,4.7,4.9
MOMBAÇA,2.8,3.4,3.3,3.8,4.0,4.3,4.7,5.5,2.8,3.0,3.3,3.7,4.0,4.3,4.6,4.8
MONSENHOR TABOSA,2.9,3.0,3.4,4.1,4.1,4.2,4.9,4.7,3.0,3.1,3.4,3.8,4.2,4.4,4.7,5.0
MORADA NOVA,3.1,3.0,3.3,3.8,4.1,4.3,4.4,4.4,3.1,3.2,3.5,3.9,4.3,4.5,4.8,5.1
MORAÚJO,4.0,3.9,4.1,4.5,4.4,4.3,4.9,4.9,4.0,4.2,4.4,4.8,5.2,5.5,5.7,5.9
MORRINHOS,2.7,3.3,3.8,4.1,4.4,5.4,5.8,5.6,2.8,2.9,3.2,3.6,4.0,4.2,4.5,4.8
MUCAMBO,3.3,3.6,4.3,5.0,4.4,4.9,5.2,7.0,3.3,3.5,3.8,4.2,4.5,4.8,5.1,5.3
MULUNGU,2.5,2.9,3.7,3.7,4.7,4.5,4.3,4.8,2.5,2.7,3.0,3.4,3.7,4.0,4.3,4.5
NOVA OLINDA,2.2,2.9,3.8,4.4,4.7,4.8,5.4,5.1,2.2,2.4,2.8,3.3,3.7,3.9,4.2,4.5
NOVA RUSSAS,2.5,2.9,3.2,3.7,3.9,4.3,4.8,5.1,2.5,2.7,2.9,3.3,3.7,4.0,4.2,4.5
