Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
MORRINHOS,2.9,3.1,4.2,5.5,5.7,6.7,6.4,6.7,2.9,3.3,3.7,4.0,4.3,4.6,4.9,5.2
MUCAMBO,3.5,4.5,4.9,7.5,6.2,6.1,6.8,9.4,3.5,3.9,4.3,4.6,4.9,5.2,5.4,5.7
MULUNGU,2.5,3.1,3.8,4.5,5.4,5.1,5.4,6.8,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
NOVA OLINDA,2.7,4.0,4.4,5.4,6.5,7.5,7.0,6.0,2.7,3.1,3.5,3.7,4.0,4.3,4.6,5.0
NOVA RUSSAS,2.8,3.0,3.2,4.1,4.4,5.1,5.8,7.6,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
NOVO ORIENTE,3.3,3.4,4.4,6.4,7.6,7.9,7.6,8.3,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
OCARA,2.8,2.7,3.6,4.6,5.0,6.0,5.8,6.2,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
ORÓS,2.6,2.9,3.4,4.6,4.3,5.0,5.9,6.1,2.6,3.0,3.4,3.6,3.9,4.2,4.5,4.9
PACAJUS,2.5,3.1,3.9,4.7,5.0,5.7,6.0,6.4,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
PACATUBA,3.6,3.4,4.1,4.6,4.8,5.3,5.6,6.0,3.6,4.0,4.4,4.7,5.0,5.3,5.5,5.8
PACOTI,3.1,3.5,3.7,,5.2,5.3,5.1,5.8,3.1,3.5,3.9,4.2,4.4,4.7,5.0,5.3
PACUJÁ,3.3,3.3,3.6,4.6,4.8,6.8,6.9,7.0,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
PALHANO,3.1,2.9,4.1,4.9,5.3,6.0,6.1,6.2,3.1,3.5,3.9,4.2,4.5,4.8,5.1,5.4
PALMÁCIA,3.3,3.1,3.4,4.3,4.9,5.5,5.5,6.3,3.4,3.7,4.1,4.4,4.7,5.0,5.3,5.6
PARACURU,3.6,4.0,4.7,5.5,5.0,5.7,5.6,6.2,3.7,4.0,4.4,4.7,5.0,5.3,5.6,5.8
PARAIPABA,3.4,4.0,4.3,4.8,5.4,6.4,5.9,6.1,3.5,3.8,4.2,4.5,4.8,5.1,5.4,5.7
PARAMBU,3.1,4.0,4.1,4.7,5.5,6.0,6.1,6.8,3.2,3.5,3.9,4.2,4.5,4.8,5.1,5.4
PARAMOTI,2.8,3.2,4.0,4.5,4.2,5.3,5.1,4.7,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
